feature,importance
total_words,0.113478854
num_chunks,0.10061308
freq_std,0.062163293
freq_skewness,0.059607685
type_token_ratio,0.057682615
total_chars,0.043073136
freq_max,0.039364684
max_sentence_length,0.03613238
vocab_size,0.03577839
hapax_ratio,0.028920548
punctuation_density,0.028855203
std_sentence_length,0.028117139
long_word_ratio,0.026976334
num_sentences,0.02496357
std_chunk_words,0.024599332
avg_sentence_length,0.02399024
std_word_length,0.022897815
exclamation_ratio,0.022398012
freq_mean,0.0217907
max_word_length,0.02167341
short_word_ratio,0.02150386
reading_ease_proxy,0.020836268
medium_word_ratio,0.020147124
question_mark_ratio,0.019071784
space_ratio,0.018569907
bigram_ratio,0.017946571
avg_word_length,0.016645145
dialogue_ratio,0.016640132
avg_chunk_words,0.013693175
words_per_sentence,0.011869649
median_word_length,0.0
min_word_length,0.0
